instance,metric,variant_a,variant_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
A-n80-k10,gap_percent,baseline-best,baseline-first,149.12081899999998,146.9937665,471.5,0.7561914995569212,-0.04777777777777778,1.0,no_significativo
A-n80-k10,gap_percent,baseline-best,baseline-random,149.12081899999998,150.397049,435.0,0.8302506390877434,0.03333333333333333,1.0,no_significativo
A-n80-k10,gap_percent,baseline-best,efg-high-best,149.12081899999998,178.8996045,34.0,8.092657734664507e-10,0.9244444444444444,2.8324302071325776e-08,significativo
A-n80-k10,gap_percent,baseline-best,efg-high-first,149.12081899999998,178.64435550000002,51.0,3.821102538632205e-09,0.8866666666666667,1.1081197362033396e-07,significativo
A-n80-k10,gap_percent,baseline-best,efg-high-random,149.12081899999998,175.1276165,38.0,1.17249788812148e-09,0.9155555555555556,3.751993241988736e-08,significativo
A-n80-k10,gap_percent,baseline-best,efg-medium-best,149.12081899999998,170.44809750000002,88.5,9.42888569062895e-08,0.8033333333333333,2.5457991364698167e-06,significativo
A-n80-k10,gap_percent,baseline-best,efg-medium-first,149.12081899999998,168.973343,140.0,4.741615872847429e-06,0.6888888888888889,9.957393332979601e-05,significativo
A-n80-k10,gap_percent,baseline-best,efg-medium-random,149.12081899999998,168.9166185,120.5,1.1487495278287244e-06,0.7322222222222222,2.7569988667889385e-05,significativo
A-n80-k10,gap_percent,baseline-first,baseline-random,146.9937665,150.397049,413.0,0.5894408266057103,0.08222222222222222,1.0,no_significativo
A-n80-k10,gap_percent,baseline-first,efg-high-best,146.9937665,178.8996045,34.0,8.101362326146452e-10,0.9244444444444444,2.8324302071325776e-08,significativo
A-n80-k10,gap_percent,baseline-first,efg-high-first,146.9937665,178.64435550000002,53.0,4.572570439873648e-09,0.8822222222222222,1.2803197231646215e-07,significativo
A-n80-k10,gap_percent,baseline-first,efg-high-random,146.9937665,175.1276165,50.0,3.4971115177179653e-09,0.8888888888888888,1.0491334553153896e-07,significativo
A-n80-k10,gap_percent,baseline-first,efg-medium-best,146.9937665,170.44809750000002,92.5,1.3052082832900628e-07,0.7944444444444444,3.3935415365541634e-06,significativo
A-n80-k10,gap_percent,baseline-first,efg-medium-first,146.9937665,168.973343,144.5,6.503807765357721e-06,0.6788888888888889,0.00013007615530715442,significativo
A-n80-k10,gap_percent,baseline-first,efg-medium-random,146.9937665,168.9166185,121.0,1.1936801001725348e-06,0.7311111111111112,2.7569988667889385e-05,significativo
A-n80-k10,gap_percent,baseline-random,efg-high-best,150.397049,178.8996045,25.0,3.4741966068317727e-10,0.9444444444444444,1.2507107784594382e-08,significativo
A-n80-k10,gap_percent,baseline-random,efg-high-first,150.397049,178.64435550000002,48.0,2.9215452138416713e-09,0.8933333333333333,9.056790162909181e-08,significativo
A-n80-k10,gap_percent,baseline-random,efg-high-random,150.397049,175.1276165,34.0,8.101362326146452e-10,0.9244444444444444,2.8324302071325776e-08,significativo
A-n80-k10,gap_percent,baseline-random,efg-medium-best,150.397049,170.44809750000002,95.0,1.596405099603832e-07,0.7888888888888889,3.99101274900958e-06,significativo
A-n80-k10,gap_percent,baseline-random,efg-medium-first,150.397049,168.973343,153.0,1.167436036255161e-05,0.66,0.0002218128468884806,significativo
A-n80-k10,gap_percent,baseline-random,efg-medium-random,150.397049,168.9166185,133.0,2.87897208006701e-06,0.7044444444444444,6.333738576147422e-05,significativo
A-n80-k10,gap_percent,efg-high-best,efg-high-first,178.8996045,178.64435550000002,462.0,0.8649899908007772,-0.02666666666666667,1.0,no_significativo
A-n80-k10,gap_percent,efg-high-best,efg-high-random,178.8996045,175.1276165,515.0,0.34027504754352444,-0.14444444444444443,1.0,no_significativo
A-n80-k10,gap_percent,efg-high-best,efg-medium-best,178.8996045,170.44809750000002,660.5,0.0019042544650607648,-0.4677777777777778,0.03427658037109377,significativo
A-n80-k10,gap_percent,efg-high-best,efg-medium-first,178.8996045,168.973343,646.5,0.0037580495327412247,-0.43666666666666665,0.06388684205660082,no_significativo
